1 d\xspace d\xspace
2 u\xspace u\xspace
3 s\xspace s\xspace
4 c\xspace c\xspace
5 b\xspace b\xspace
6 t\xspace t\xspace
11 e^-\xspace e^+\xspace
13 \mu^-\xspace \mu^+\xspace
15 \tau^-\xspace \tau^+\xspace
22 \gamma\xspace \gamma\xspace
23 Z^{0}\xspace Z^{0}\xspace
24 W^{+}\xspace W^{-}\xspace
111 \pi^{0}\xspace \pi^{0}\xspace
113 \rho(770)^{0}\xspace \rho(770)^{0}\xspace
115 a_{2}(1320)^{0}\xspace a_{2}(1320)^{0}\xspace
117 \rho_{3}(1690)^{0}\xspace \rho_{3}(1690)^{0}\xspace
119 a_{4}(2040)^{0}\xspace a_{4}(2040)^{0}\xspace
130 K_L^{0}\xspace K_L^{0}\xspace
211 \pi^{+}\xspace \pi^{-}\xspace
213 \rho(770)^{+}\xspace \rho(770)^{-}\xspace
215 a_{2}(1320)^{+}\xspace a_{2}(1320)^{-}\xspace
217 \rho_{3}(1690)^{+}\xspace \rho_{3}(1690)^{-}\xspace
219 a_{4}(2040)^{+}\xspace a_{4}(2040)^{-}\xspace
221 \eta\xspace \eta\xspace
223 \omega(782)\xspace \omega(782)\xspace
225 f_{2}(1270)\xspace f_{2}(1270)\xspace
227 \omega_{3}(1670)\xspace \omega_{3}(1670)\xspace
229 f_{4}(2050)\xspace f_{4}(2050)\xspace
310 K_S^{0}\xspace K_S^{0}\xspace
311 K^{0}\xspace \kern0.2em\overline{\kern-0.2emK}^{0}\xspace
313 K^*(892)^{0}\xspace \kern0.2em\overline{\kern-0.2emK}^*(892)^{0}\xspace
315 K_{2}^*(1430)^{0}\xspace \kern0.2em\overline{\kern-0.2emK_{2}}^*(1430)^{0}\xspace
317 K_{3}^*(1780)^{0}\xspace \kern0.2em\overline{\kern-0.2emK_{3}}^*(1780)^{0}\xspace
319 K_{4}^*(2045)^{0}\xspace \kern0.2em\overline{\kern-0.2emK_{4}}^*(2045)^{0}\xspace
321 K^{+}\xspace K^{-}\xspace
323 K^*(892)^{+}\xspace K^*(892)^{-}\xspace
325 K_{2}^*(1430)^{+}\xspace K_{2}^*(1430)^{-}\xspace
327 K_{3}^*(1780)^{+}\xspace K_{3}^*(1780)^{-}\xspace
329 K_{4}^*(2045)^{+}\xspace K_{4}^*(2045)^{-}\xspace
331 \eta^\prime(958)\xspace \eta^\prime(958)\xspace
333 \phi(1020)\xspace \phi(1020)\xspace
335 f_{2}^\prime(1525)\xspace f_{2}^\prime(1525)\xspace
337 \phi_{3}(1850)\xspace \phi_{3}(1850)\xspace
411 D^{+}\xspace D^{-}\xspace
413 D^*(2010)^{+}\xspace D^*(2010)^{-}\xspace
415 D_{2}^*(2460)^{+}\xspace D_{2}^*(2460)^{-}\xspace
421 D^{0}\xspace \kern0.2em\overline{\kern-0.2emD}^{0}\xspace
423 D^*(2007)^{0}\xspace \kern0.2em\overline{\kern-0.2emD}^*(2007)^{0}\xspace
425 D_{2}^*(2460)^{0}\xspace \kern0.2em\overline{\kern-0.2emD_{2}}^*(2460)^{0}\xspace
431 D_s^{+}\xspace D_s^{-}\xspace
433 D_s^{*+}\xspace D_s^{*-}\xspace
435 D_{s2}^{*+}\xspace D_{s2}^{*-}\xspace
441 \eta_c(1S)\xspace \eta_c(1S)\xspace
443 J/\psi(1S)\xspace J/\psi(1S)\xspace
445 \chi_{c2}(1P)\xspace \chi_{c2}(1P)\xspace
511 B^{0}\xspace \kern0.2em\overline{\kern-0.2emB}^{0}\xspace
513 B^{*0}\xspace \kern0.2em\overline{\kern-0.2emB}^{*0}\xspace
515 B_{2}^{*0}\xspace \kern0.2em\overline{\kern-0.2emB_{2}}^{*0}\xspace
521 B^{+}\xspace B^{-}\xspace
523 B^{*+}\xspace B^{*-}\xspace
525 B_{2}^{*+}\xspace B_{2}^{*-}\xspace
531 B_s^{0}\xspace \kern0.2em\overline{\kern-0.2emB_s}^{0}\xspace
533 B_s^{*0}\xspace \kern0.2em\overline{\kern-0.2emB_s}^{*0}\xspace
535 B_{s2}^{*0}\xspace \kern0.2em\overline{\kern-0.2emB_{s2}}^{*0}\xspace
541 B_c^{+}\xspace B_c^{-}\xspace
551 \eta_b(1S)\xspace \eta_b(1S)\xspace
553 \Upsilon(1S)\xspace \Upsilon(1S)\xspace
555 \chi_{b2}(1P)\xspace \chi_{b2}(1P)\xspace
1112 \Delta(1620)^-\xspace \Delta(1620)^+\xspace
1114 \Delta^-\xspace \Delta^+\xspace
1116 \Delta(1905)^-\xspace \Delta(1905)^+\xspace
1118 \Delta(1950)^-\xspace \Delta(1950)^+\xspace
1212 \Delta(1620)^{+}\xspace \kern0.2em\overline{\kern-0.2em\Delta}(1620)^{+}\xspace
1214 N(1520)^{0}\xspace \kern0.2em\overline{\kern-0.2emN}(1520)^{0}\xspace
1216 \Delta(1905)^{0}\xspace \kern0.2em\overline{\kern-0.2em\Delta}(1905)^{0}\xspace
1218 N(2190)^{0}\xspace \kern0.2em\overline{\kern-0.2emN}(2190)^{0}\xspace
2112 \Delta(1620)^{0}\xspace \kern0.2em\overline{\kern-0.2em\Delta}(1620)^{0}\xspace
2114 \Delta^{0}\xspace \kern0.2em\overline{\kern-0.2em\Delta}^{0}\xspace
2116 N(1675)^{0}\xspace \kern0.2em\overline{\kern-0.2emN}(1675)^{0}\xspace
2118 \Delta(1950)^{0}\xspace \kern0.2em\overline{\kern-0.2em\Delta}(1950)^{0}\xspace
2124 N(1520)^{+}\xspace N(1520)^{-}\xspace
2126 \Delta(1905)^{+}\xspace \Delta(1905)^{-}\xspace
2128 N(2190)^{+}\xspace N(2190)^{-}\xspace
2212 p\xspace p\xspace
2214 \Delta^{+}\xspace \Delta^{-}\xspace
2216 N(1675)^{+}\xspace N(1675)^{-}\xspace
2218 \Delta(1950)^{+}\xspace \Delta(1950)^{-}\xspace
2222 \Delta(1620)^{++}\xspace \Delta(1620)^{--}\xspace
2224 \Delta^{++}\xspace \Delta^{--}\xspace
